account_id,account_name,plan_name,mrr,seats_contracted,renewal_date,is_active,created_at
acc_001,Acme Corp,enterprise,4800,50,2026-07-09,true,2024-03-17 00:00:00
acc_002,BlueSky SaaS,growth,1200,20,2026-07-21,true,2025-09-08 00:00:00
acc_003,Coastal Retail,starter,400,8,2026-07-17,true,2025-12-06 00:00:00
acc_004,Delta Logistics,growth,1600,25,2026-08-16,true,2025-03-25 00:00:00
acc_005,Echo Analytics,enterprise,3200,40,2026-08-30,true,2025-04-25 00:00:00
acc_006,Finova,starter,350,6,2026-09-14,true,2025-05-17 00:00:00
acc_007,Granite Tools,growth,980,15,2026-10-22,true,2025-08-11 00:00:00
acc_008,Highpoint Labs,enterprise,5200,60,2026-11-21,true,2025-09-18 00:00:00
acc_009,Indigo Payments,starter,290,5,2027-01-10,true,2024-02-08 00:00:00
acc_010,Juniper Systems,growth,1450,22,2026-12-21,true,2024-06-21 00:00:00
acc_011,Keystroke AI,enterprise,6000,80,2027-02-04,true,2025-10-03 00:00:00
acc_012,Luminary Media,growth,870,12,2026-09-27,true,2024-05-06 00:00:00
acc_013,Metro Finance,starter,310,7,2027-04-25,true,2024-10-25 00:00:00
acc_014,Northwind Ops,growth,1100,18,2026-08-03,true,2025-11-29 00:00:00
acc_015,Orbis Health,enterprise,4100,45,2026-08-23,true,2025-12-01 00:00:00
